playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey,playerRole
1627763,"Malcolm Brogdon",1.51,27,0.31,139,1.2,24,0.31,143,0.24,129,0.08,207,0.64,49,0.58,46,0.06,238,0.24,194,0.01,311,0.25,174,-0.47,548,-0.56,584,0.08,186,0.52,147,0.2,177,0.33,165,"2021-22",1610612754,"IND","1627763_2021-22","No Role Available"
1626144,"Emmanuel Mudiay",-0.07,327,0.01,307,-0.06,334,0.01,286,0.03,247,-0.05,332,-0.04,343,-0.04,332,0.01,296,-0.04,303,0.07,243,-0.11,359,0.03,255,-0.03,327,0.06,214,0.01,273,0.05,241,-0.06,310,"2021-22",1610612758,"SAC","1626144_2021-22","No Role Available"
1629057,"Robert Williams III",0.58,123,0.29,145,0.29,138,1.06,25,0.91,7,0.15,160,-0.02,322,0.8,19,-0.82,593,0.98,71,-0.17,405,1.15,27,-0.04,334,0.05,228,-0.09,396,1.9,30,1.57,12,0.32,166,"2021-22",1610612738,"BOS","1629057_2021-22","No Role Available"
1627789,"Timothe Luwawu-Cabarrot",-0.08,337,0.34,129,-0.43,492,-0.65,549,-0.45,546,-0.2,450,-0.24,449,-0.31,502,0.07,223,1.26,43,1.08,16,0.18,201,-0.57,567,-0.28,509,-0.29,533,-1.01,518,-0.62,510,-0.39,440,"2021-22",1610612737,"ATL","1627789_2021-22","No Role Available"
1627827,"Dorian Finney-Smith",0.72,98,-0.37,490,1.09,37,1.13,21,0.15,163,0.97,12,0.04,259,0.05,235,0.01,313,1,65,0.7,45,0.3,157,0.02,267,-0.39,547,0.41,54,1.9,29,0.13,202,1.77,21,"2021-22",1610612742,"DAL","1627827_2021-22","No Role Available"
1628035,"Alfonzo McKinnie",-0.76,526,-0.55,523,-0.2,417,-0.33,468,-0.41,538,0.09,202,-0.31,477,-0.06,351,-0.25,462,-0.08,326,-0.33,477,0.25,177,-0.19,442,-0.04,339,-0.15,449,-0.76,492,-0.75,538,0.01,261,"2021-22",1610612741,"CHI","1628035_2021-22","No Role Available"
1628370,"Malik Monk",0.6,119,-0.63,541,1.23,20,0.41,122,-0.4,535,0.81,25,-0.22,439,-0.07,355,-0.15,413,-0.27,399,-0.41,500,0.14,214,0.19,160,-0.22,479,0.41,53,1.29,74,-0.69,525,1.98,11,"2021-22",1610612747,"LAL","1628370_2021-22","No Role Available"
1628372,"Dennis Smith Jr.",-0.4,450,0.3,142,-0.69,543,-1,582,-0.48,551,-0.53,555,0.12,210,0.1,202,0.02,280,0.33,170,0.22,162,0.11,225,0.35,96,0.5,39,-0.15,451,-1.23,542,-0.17,394,-1.06,559,"2021-22",1610612757,"POR","1628372_2021-22","No Role Available"
1628373,"Frank Ntilikina",0.51,132,0.64,60,-0.13,379,0.17,189,0.5,54,-0.33,512,-0.39,496,-0.17,426,-0.22,448,-0.02,291,0.18,183,-0.2,411,0.98,7,0.53,33,0.45,44,0.66,129,1.01,51,-0.35,425,"2021-22",1610612742,"DAL","1628373_2021-22","No Role Available"
1628386,"Jarrett Allen",1.13,48,1,20,0.13,190,0.59,80,0.59,35,0.01,275,0.76,33,0.88,12,-0.11,389,0.61,118,-0.49,519,1.1,30,-0.31,491,0.26,110,-0.57,591,1.07,93,1.33,25,-0.26,404,"2021-22",1610612739,"CLE","1628386_2021-22","No Role Available"
1628389,"Bam Adebayo",0.93,67,0.59,71,0.33,130,1.21,17,0.8,15,0.4,81,0.53,69,0.48,65,0.06,243,-0.15,359,0.91,24,-1.06,581,-0.12,390,0.02,255,-0.14,434,2.14,22,1.78,6,0.35,159,"2021-22",1610612748,"MIA","1628389_2021-22","No Role Available"
1628395,"Jordan Bell",0.01,275,-0.03,328,0.04,235,0.01,267,-0.02,312,0.03,242,-0.04,349,-0.05,341,0.01,295,0.07,252,0.01,303,0.07,256,0.02,264,0.01,266,0.01,277,0.04,251,-0.04,311,0.08,227,"2021-22",1610612741,"CHI","1628395_2021-22","No Role Available"
1628398,"Kyle Kuzma",-1.09,560,-0.7,554,-0.39,484,0.01,276,-0.1,400,0.1,187,-0.02,327,0.09,211,-0.11,387,-1.55,594,-0.87,584,-0.68,524,-0.82,590,-0.74,599,-0.09,392,-1.55,566,-1.03,566,-0.52,475,"2021-22",1610612764,"WAS","1628398_2021-22","No Role Available"
1628591,"Craig Sword",0.01,286,0.05,264,-0.05,321,0.05,234,0.02,261,0.03,234,-0.2,431,-0.14,410,-0.05,345,0.12,232,0.03,275,0.09,237,0.01,281,0.07,201,-0.07,375,0.05,247,0.05,238,0.01,266,"2021-22",1610612764,"WAS","1628591_2021-22","No Role Available"
1629060,"Rui Hachimura",-1.36,579,-0.76,562,-0.6,519,-0.29,448,-0.6,572,0.31,105,0.01,317,0.21,154,-0.22,452,-1.38,583,-0.11,376,-1.27,588,-0.2,451,-0.39,548,0.19,118,-1.09,526,-1.21,581,0.12,209,"2021-22",1610612764,"WAS","1629060_2021-22","No Role Available"
1629067,"Isaac Bonga",-0.15,373,-0.03,327,-0.12,376,-0.19,404,0.01,280,-0.2,452,-0.26,456,-0.15,419,-0.11,383,-0.28,403,-0.32,471,0.04,272,0.08,219,0.11,177,-0.03,327,-0.45,436,-0.04,313,-0.41,449,"2021-22",1610612761,"TOR","1629067_2021-22","No Role Available"
1629130,"Duncan Robinson",0.21,189,0.27,153,-0.06,331,-0.34,472,-0.05,348,-0.29,491,-1,588,-0.05,338,-0.95,603,0.36,161,0.45,92,-0.09,351,-0.14,414,0.1,184,-0.25,514,-0.53,453,0.18,182,-0.72,522,"2021-22",1610612748,"MIA","1629130_2021-22","No Role Available"
1629139,"Yuta Watanabe",0.54,129,0.24,171,0.3,137,-0.34,471,0.01,281,-0.34,518,-0.42,501,-0.47,550,0.05,251,-0.4,432,-0.56,531,0.16,209,0.49,62,0.2,127,0.29,78,-0.51,451,-0.12,364,-0.4,443,"2021-22",1610612761,"TOR","1629139_2021-22","No Role Available"
1629150,"Emanuel Terry",-0.33,426,-0.13,399,-0.2,413,-0.16,385,-0.04,342,-0.12,395,-0.18,423,-0.13,403,-0.05,339,-0.05,311,-0.11,379,0.06,259,-0.07,357,0.02,251,-0.09,397,-0.31,388,-0.07,328,-0.24,398,"2021-22",1610612756,"PHX","1629150_2021-22","No Role Available"
1629162,"Jordan McLaughlin",-0.14,367,0.1,232,-0.24,430,0.39,128,-0.09,389,0.48,68,-0.14,400,-0.27,482,0.13,188,-1.1,548,-0.06,344,-1.04,579,0.37,90,0.32,84,0.05,231,0.43,163,-0.03,302,0.46,137,"2021-22",1610612750,"MIN","1629162_2021-22","No Role Available"
1629164,"Brandon Goodwin",0.07,240,-0.1,384,0.17,171,-0.47,507,-0.35,519,-0.12,394,0.4,111,0.08,218,0.33,106,0.51,137,0.04,270,0.47,108,-0.08,370,-0.14,437,0.05,222,-0.81,499,-0.75,534,-0.06,307,"2021-22",1610612739,"CLE","1629164_2021-22","No Role Available"
1629168,"BJ Johnson",-0.08,334,0.07,248,-0.15,386,0.02,259,-0.06,362,0.07,208,-0.18,420,-0.07,356,-0.11,386,-0.38,428,-0.36,486,-0.02,310,-0.16,424,-0.04,342,-0.12,419,-0.16,345,-0.14,382,-0.02,279,"2021-22",1610612753,"ORL","1629168_2021-22","No Role Available"
1629185,"Chris Chiozza",-0.39,446,0.16,209,-0.54,511,-0.31,459,-0.09,394,-0.22,458,0.18,180,0.14,178,0.03,269,-0.09,332,-0.14,392,0.05,269,-0.22,460,0.01,298,-0.21,487,-0.65,475,-0.03,304,-0.62,500,"2021-22",1610612744,"GSW","1629185_2021-22","No Role Available"
1629216,"Gabe Vincent",-0.58,494,0.54,80,-1.12,587,0.59,81,0.07,222,0.52,60,-1.16,597,-0.29,493,-0.86,599,-1.27,570,-0.82,580,-0.45,472,0.23,142,0.63,20,-0.4,566,0.11,222,0.36,138,-0.24,399,"2021-22",1610612748,"MIA","1629216_2021-22","No Role Available"
1629234,"Drew Eubanks",-1.64,586,-0.6,533,-1.05,583,-1.37,600,-0.72,589,-0.65,580,0.01,296,0.3,122,-0.3,483,-0.08,325,-0.56,534,0.48,107,-0.46,544,-0.06,364,-0.4,567,-2.92,601,-1.53,597,-1.39,584,"2021-22",1610612759,"SAS","1629234_2021-22","No Role Available"
1629308,"Juan Toscano-Anderson",0.15,209,-0.06,353,0.2,160,0.5,97,-0.02,319,0.52,59,-0.98,583,-0.81,595,-0.17,423,-0.07,317,-0.12,382,0.05,267,-0.23,468,0.07,206,-0.3,538,0.26,191,-0.2,408,0.46,136,"2021-22",1610612744,"GSW","1629308_2021-22","No Role Available"
1629309,"Trayvon Palmer",-0.1,347,0.06,260,-0.16,397,-0.06,329,0.01,288,-0.06,348,-0.02,326,-0.06,348,0.04,263,0.15,222,0.09,226,0.06,260,-0.08,368,0.05,229,-0.13,427,-0.14,337,0.01,279,-0.14,345,"2021-22",1610612765,"DET","1629309_2021-22","No Role Available"
1629312,"Haywood Highsmith",-0.47,470,-0.24,447,-0.23,427,-0.3,452,-0.21,466,-0.08,368,-0.28,467,-0.05,335,-0.23,454,-0.37,426,-0.28,456,-0.09,352,-0.08,365,-0.15,450,0.07,198,-0.7,481,-0.42,468,-0.28,409,"2021-22",1610612748,"MIA","1629312_2021-22","No Role Available"
