Rk,Player,BPM...3,MP▼,From,To,Age,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM...18,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
1,Mikal Bridges,2.1,8165,2020-21,2022-23,24-26,237,237,24.4,123,112,15,9.4,0.143,1.4,0.7,2.1,8.5,15.9,3.1,10.6,6.9,10.5,1.6,1.7,7.6,17.7,F-G,BRKPHO,bridgmi01
2,Julius Randle,2.7,7948,2020-21,2022-23,26-28,220,220,19,110,110,8.2,10.8,0.115,2.4,0.3,2.7,9.4,18.7,4.8,25.5,15.1,23.5,1,0.9,13.2,29.2,F-C,NYK,randlju01
3,Jayson Tatum,4.8,7753,2020-21,2022-23,22-24,214,214,26.7,115,109,15.3,11.4,0.165,4.5,0.4,4.8,13.4,22.3,3,21.1,12.2,20.8,1.4,1.5,10.6,31.9,F,BOS,tatumja01
4,Anthony Edwards,0.1,7622,2020-21,2022-23,19-21,223,206,8.9,105,114,1.5,7.4,0.056,0.7,-0.6,0.1,4.1,16,2.4,14.1,8.2,17.3,1.9,1.7,12.1,27.9,G,MIN,edwaran01
5,Nikola Vucevic,2.9,7512,2020-21,2022-23,30-32,225,225,19.1,112,110,8.5,10.6,0.122,2.5,0.4,2.9,9.4,20,6.6,30.6,18.6,16.9,1.3,2.1,9.3,25,C,CHIORL,vucevni01
6,DeMar DeRozan,2.5,7481,2020-21,2022-23,31-33,211,211,24.7,119,115,18.3,6.4,0.159,2.7,-0.2,2.5,8.4,21.9,1.9,12.8,7.4,25.3,1.3,0.9,9.3,28.8,G-F,CHISAS,derozde01
7,Buddy Hield,0,7414,2020-21,2022-23,28-30,232,176,8.5,110,118,5,3.4,0.055,1.3,-1.3,0,3.8,13.7,2.4,13.9,8.1,13.9,1.5,0.9,11.4,21.3,G-F,INDSAC,hieldbu01
8,RJ Barrett,-2,7403,2020-21,2022-23,20-22,215,215,8.6,105,114,1.5,7.1,0.056,-0.8,-1.1,-2,0.1,13.3,2.8,14.7,8.7,13.6,0.9,0.7,10.4,25.7,G-F,NYK,barrerj01
9,Harrison Barnes,-0.3,7351,2020-21,2022-23,28-30,217,217,17.1,123,119,14.1,3,0.112,1.1,-1.4,-0.3,3.3,15,3.5,14.5,8.9,9.7,1,0.4,9.8,17.7,F,SAC,barneha02
10,Trae Young,4.1,7318,2020-21,2022-23,22-24,212,212,23.8,118,118,20.2,3.6,0.156,6,-1.9,4.1,11.3,23.5,2.2,9,5.6,44.9,1.4,0.3,15.2,33.4,G,ATL,youngtr01
11,Nikola Jokic,12.9,7287,2020-21,2022-23,25-27,215,215,45.8,130,108,34.1,11.7,0.302,9,4,12.9,27.4,31.9,9.2,31,20.3,43.1,2,2,15.2,29.6,C-F,DEN,jokicni01
12,Pascal Siakam,2.6,7236,2020-21,2022-23,26-28,195,195,20.1,115,113,12.3,7.8,0.133,2.5,0.2,2.6,8.4,19.6,5.1,19.2,11.8,23,1.5,1.6,10.7,26.5,F,TOR,siakapa01
13,Dejounte Murray,2.4,7198,2020-21,2022-23,24-26,209,209,15.3,111,112,7,8.3,0.102,1.5,0.9,2.4,8,18.6,2.8,18.5,10.6,30,2.3,0.6,10.8,25,G,ATLSAS,murrade01
14,Russell Westbrook,0.7,7173,2020-21,2022-23,32-34,216,167,7.3,103,112,-0.7,8,0.049,0.7,0,0.7,4.8,16.8,4.7,21.4,13.1,39.3,1.6,0.9,17.9,28.4,G,LACLALWAS,westbru01
15,Zach LaVine,2.7,7130,2020-21,2022-23,25-27,202,202,18.8,115,115,12.8,6,0.127,3.7,-1,2.7,8.4,20.1,1.6,13.1,7.4,20.7,1.1,0.9,12,29.2,G-F,CHI,lavinza01
16,Domantas Sabonis,4.7,7103,2020-21,2022-23,24-26,203,202,26.6,123,113,18.8,7.8,0.18,3.2,1.4,4.7,11.9,22.1,9.5,29.3,19.4,27.4,1.3,1.2,17.1,22.5,C-F,INDSAC,sabondo01
17,Terry Rozier,1,7062,2020-21,2022-23,26-28,205,205,12.8,112,116,7.7,5.2,0.087,1.8,-0.8,1,5.3,16.5,2.3,11.1,6.6,20.8,1.7,0.9,8.7,24.8,G,CHO,roziete01
18,Royce ONeale,0.2,7056,2020-21,2022-23,27-29,224,201,14,116,112,5.4,8.6,0.095,-1.2,1.4,0.2,3.9,9.8,3.3,15.4,9.6,12.1,1.4,1.4,15.5,11.1,F,BRKUTA,onealro01
19,Tobias Harris,1.3,6993,2020-21,2022-23,28-30,209,209,18.6,116,112,10.1,8.5,0.128,1.3,0,1.3,5.9,16.7,3.4,18,10.8,14.9,1.2,1.7,9.3,21.1,F,PHI,harrito02
20,Luka Doncic,8,6954,2020-21,2022-23,21-23,197,197,25.5,115,110,16.1,9.3,0.176,6.7,1.3,8,17.6,26.4,2.7,24.7,13.7,44.1,1.6,1.4,14.1,37,G-F,DAL,doncilu01
21,Fred VanVleet,2.9,6896,2020-21,2022-23,26-28,186,186,17.5,115,113,10,7.4,0.121,2.5,0.4,2.9,8.5,17.1,1.6,11.6,6.3,27.2,2.3,1.6,10.7,23.6,G,TOR,vanvlfr01
22,Saddiq Bey,-0.4,6742,2020-21,2022-23,21-23,229,172,11.1,113,116,6.6,4.5,0.079,0.7,-1.1,-0.4,2.8,13.8,3.9,14.7,9.1,10.3,1.4,0.6,7.2,20.2,F,ATLDET,beysa01
23,Darius Garland,1.3,6667,2020-21,2022-23,21-23,191,187,15.1,112,114,8.7,6.4,0.109,2.4,-1.1,1.3,5.5,17.6,1.5,7.6,4.6,35.4,1.8,0.3,15.2,26.7,G,CLE,garlada01
24,Jaylen Brown,1.9,6624,2020-21,2022-23,24-26,191,191,15.6,110,111,6.7,8.8,0.113,2.1,-0.2,1.9,6.5,19.3,3.4,16.4,10,17,1.6,1,11.5,30.6,F-G,BOS,brownja02
25,Kentavious Caldwell-Pope,-1,6612,2020-21,2022-23,27-29,220,220,11.6,113,113,5,6.5,0.084,-1.3,0.3,-1,1.6,11.6,1.8,9.1,5.5,9.4,1.9,1.2,10.4,15.9,G,DENLALWAS,caldwke01
